filename,accession_number,detected_form,folder_form,csv_form,filing_date,cik,url,mismatch_flag,notes
0001181431-11-039914_rrd317016.xml.html,0001181431-11-039914,4,4,4,0001-18-14,0001181431,https://www.sec.gov/Archives/edgar/data/0001334036/000118143111039914/0001181431-11-039914-index.html,False,
0001334036-24-000125_0001334036-24-000125.txt.html,0001334036-24-000125,4,4,4,0125-00-01,0001334036,https://www.sec.gov/Archives/edgar/data/0001334036/000133403624000125/0001334036-24-000125-index.html,False,
0001181431-11-018782_rrd305695.xml.html,0001181431-11-018782,4,4,4,0001-18-14,0001181431,https://www.sec.gov/Archives/edgar/data/0001334036/000118143111018782/0001181431-11-018782-index.html,False,
0001334036-21-000169_wf-form4_163191500948367.html.html,0001334036-21-000169,4,4,4,6319-15-00,0001334036,https://www.sec.gov/Archives/edgar/data/0001334036/000133403621000169/0001334036-21-000169-index.html,False,
0001181431-11-041708_rrd318039.html.html,0001181431-11-041708,4,4,4,0001-18-14,0001181431,https://www.sec.gov/Archives/edgar/data/0001334036/000118143111041708/0001181431-11-041708-index.html,False,
0001181431-12-049062_rrd355103.html.html,0001181431-12-049062,4,4,4,0001-18-14,0001181431,https://www.sec.gov/Archives/edgar/data/0001334036/000118143112049062/0001181431-12-049062-index.html,False,
0001209191-18-048191_doc4.html.html,0001209191-18-048191,4,4,4,0012-09-19,0001209191,https://www.sec.gov/Archives/edgar/data/0001334036/000120919118048191/0001209191-18-048191-index.html,False,
0001209191-19-018538_0001209191-19-018538.txt.html,0001209191-19-018538,4,4,4,0012-09-19,0001209191,https://www.sec.gov/Archives/edgar/data/0001334036/000120919119018538/0001209191-19-018538-index.html,False,
0001334036-24-000035_0001334036-24-000035.txt.html,0001334036-24-000035,4,4,4,0035-00-01,0001334036,https://www.sec.gov/Archives/edgar/data/0001334036/000133403624000035/0001334036-24-000035-index.html,False,
0001334036-21-000139_0001334036-21-000139.txt.html,0001334036-21-000139,4,4,4,0139-00-01,0001334036,https://www.sec.gov/Archives/edgar/data/0001334036/000133403621000139/0001334036-21-000139-index.html,False,
0001181431-13-013157_rrd372148.html.html,0001181431-13-013157,4,4,4,0001-18-14,0001181431,https://www.sec.gov/Archives/edgar/data/0001334036/000118143113013157/0001181431-13-013157-index.html,False,
0001209191-19-018529_0001209191-19-018529.txt.html,0001209191-19-018529,4,4,4,0012-09-19,0001209191,https://www.sec.gov/Archives/edgar/data/0001334036/000120919119018529/0001209191-19-018529-index.html,False,
0001181431-12-053459_0001181431-12-053459.txt.html,0001181431-12-053459,4,4,4,0001-18-14,0001181431,https://www.sec.gov/Archives/edgar/data/0001334036/000118143112053459/0001181431-12-053459-index.html,False,
0001209191-16-126664_doc4.html.html,0001209191-16-126664,4,4,4,0012-09-19,0001209191,https://www.sec.gov/Archives/edgar/data/0001334036/000120919116126664/0001209191-16-126664-index.html,False,
0001181431-12-039541_rrd350311.html.html,0001181431-12-039541,4,4,4,0001-18-14,0001181431,https://www.sec.gov/Archives/edgar/data/0001334036/000118143112039541/0001181431-12-039541-index.html,False,
0001334036-23-000162_wk-form4_1692396739.xml.html,0001334036-23-000162,4,4,4,,0001334036,https://www.sec.gov/Archives/edgar/data/0001334036/000133403623000162/0001334036-23-000162-index.html,False,
0001334036-23-000098_wk-form4_1687479532.html.html,0001334036-23-000098,4,4,4,,0001334036,https://www.sec.gov/Archives/edgar/data/0001334036/000133403623000098/0001334036-23-000098-index.html,False,
0001181431-14-038889_0001181431-14-038889.txt.html,0001181431-14-038889,4,4,4,0001-18-14,0001181431,https://www.sec.gov/Archives/edgar/data/0001334036/000118143114038889/0001181431-14-038889-index.html,False,
0001209191-16-094511_doc4.html.html,0001209191-16-094511,4,4,4,0012-09-19,0001209191,https://www.sec.gov/Archives/edgar/data/0001334036/000120919116094511/0001209191-16-094511-index.html,False,
0001209191-18-048191_0001209191-18-048191.txt.html,0001209191-18-048191,4,4,4,0012-09-19,0001209191,https://www.sec.gov/Archives/edgar/data/0001334036/000120919118048191/0001209191-18-048191-index.html,False,
0001181431-11-028658_rrd311050.html.html,0001181431-11-028658,4,4,4,0001-18-14,0001181431,https://www.sec.gov/Archives/edgar/data/0001334036/000118143111028658/0001181431-11-028658-index.html,False,
0001334036-23-000152_0001334036-23-000152.txt.html,0001334036-23-000152,4,4,4,0152-00-01,0001334036,https://www.sec.gov/Archives/edgar/data/0001334036/000133403623000152/0001334036-23-000152-index.html,False,
0001209191-17-022814_doc4.xml.html,0001209191-17-022814,4,4,4,0012-09-19,0001209191,https://www.sec.gov/Archives/edgar/data/0001334036/000120919117022814/0001209191-17-022814-index.html,False,
0001334036-24-000119_wk-form4_1717718288.html.html,0001334036-24-000119,4,4,4,7177-18-28,0001334036,https://www.sec.gov/Archives/edgar/data/0001334036/000133403624000119/0001334036-24-000119-index.html,False,
0001334036-20-000034_0001334036-20-000034.txt.html,0001334036-20-000034,4,4,4,0034-00-01,0001334036,https://www.sec.gov/Archives/edgar/data/0001334036/000133403620000034/0001334036-20-000034-index.html,False,
0001334036-22-000022_wf-form4_164644284268118.html.html,0001334036-22-000022,4,4,4,,0001334036,https://www.sec.gov/Archives/edgar/data/0001334036/000133403622000022/0001334036-22-000022-index.html,False,
0001181431-12-035332_rrd348170.xml.html,0001181431-12-035332,4,4,4,0001-18-14,0001181431,https://www.sec.gov/Archives/edgar/data/0001334036/000118143112035332/0001181431-12-035332-index.html,False,
0001334036-21-000045_wf-form4_161499402766364.xml.html,0001334036-21-000045,4,4,4,,0001334036,https://www.sec.gov/Archives/edgar/data/0001334036/000133403621000045/0001334036-21-000045-index.html,False,
0001334036-21-000076_0001334036-21-000076.txt.html,0001334036-21-000076,4,4,4,0076-00-01,0001334036,https://www.sec.gov/Archives/edgar/data/0001334036/000133403621000076/0001334036-21-000076-index.html,False,
0001334036-21-000086_wf-form4_162223952447208.html.html,0001334036-21-000086,4,4,4,,0001334036,https://www.sec.gov/Archives/edgar/data/0001334036/000133403621000086/0001334036-21-000086-index.html,False,
0001209191-20-020235_doc4.xml.html,0001209191-20-020235,4,4,4,0012-09-19,0001209191,https://www.sec.gov/Archives/edgar/data/0001334036/000120919120020235/0001209191-20-020235-index.html,False,
0001334036-24-000125_powerofattorney_replogle001.jpg.html,0001334036-24-000125,4,4,4,,0001334036,https://www.sec.gov/Archives/edgar/data/0001334036/000133403624000125/0001334036-24-000125-index.html,False,
0001334036-23-000156_wk-form4_1692316589.xml.html,0001334036-23-000156,4,4,4,,0001334036,https://www.sec.gov/Archives/edgar/data/0001334036/000133403623000156/0001334036-23-000156-index.html,False,
0001209191-16-126669_0001209191-16-126669.txt.html,0001209191-16-126669,4,4,4,0012-09-19,0001209191,https://www.sec.gov/Archives/edgar/data/0001334036/000120919116126669/0001209191-16-126669-index.html,False,
0001209191-17-038683_0001209191-17-038683.txt.html,0001209191-17-038683,4,4,4,0012-09-19,0001209191,https://www.sec.gov/Archives/edgar/data/0001334036/000120919117038683/0001209191-17-038683-index.html,False,
0001334036-23-000021_wf-form4_167667589366124.html.html,0001334036-23-000021,4,4,4,,0001334036,https://www.sec.gov/Archives/edgar/data/0001334036/000133403623000021/0001334036-23-000021-index.html,False,
0001334036-20-000091_wf-form4_160012783252066.xml.html,0001334036-20-000091,4,4,4,,0001334036,https://www.sec.gov/Archives/edgar/data/0001334036/000133403620000091/0001334036-20-000091-index.html,False,
